Financial,,
,,
,Coeff,p-values
const,142.637186,1.97E-07
L1.GDP_WorldBank,0.555106,4.16E-01
L1.Unemployment_rate,-6.213163,7.50E-01
L1.CETES_AverageYield,-2.519679,7.28E-02
L1.S&P500,-0.006716,8.62E-01
L1.SSE,0.01461,1.81E-01
L1.Financial,0.122608,5.38E-02
L2.GDP_WorldBank,-1.067137,4.20E-01
L2.Unemployment_rate,14.312349,6.65E-01
L2.CETES_AverageYield,1.332643,4.92E-01
L2.S&P500,0.037672,5.10E-01
L2.SSE,-0.012649,4.63E-01
L2.Financial,0.132207,3.88E-02
L3.GDP_WorldBank,0.515919,4.48E-01
L3.Unemployment_rate,-24.661866,1.98E-01
L3.CETES_AverageYield,-0.317609,8.20E-01
L3.S&P500,-0.035944,3.76E-01
L3.SSE,-0.003748,7.33E-01
L3.Financial,0.14211,2.39E-02
